@relation BillNyeTheTestingGuy3.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute class {accepted,denied}

@data
% Accepted data
224,88,128,128,296,128,41,103,40,104,168,112,-1937,95,0,2529,accepted
137,87,32,120,16,112,-8,96,40,88,144,120,-1377,112,0,2000,accepted
168,72,24,128,-1,129,-8,88,40,104,144,104,-1813,96,0,2363,accepted
208,72,24,120,120,120,16,96,72,80,144,96,-1858,96,0,2352,accepted
160,72,32,120,8,112,8,72,24,112,136,112,-1704,88,0,2223,accepted
144,103,16,120,24,120,-16,72,80,96,136,104,-1782,88,0,2332,accepted
120,95,-40,144,32,120,-33,113,56,104,120,128,-1319,96,0,2461,accepted
152,103,-24,128,8,136,-16,120,16,104,105,120,-1324,103,0,1843,accepted
121,87,-47,119,32,135,-24,120,32,88,129,120,-1238,87,0,1766,accepted
129,87,8,127,16,112,-23,96,104,71,112,104,-1320,104,0,2702,accepted
137,87,0,144,24,104,8,104,32,88,216,120,-1509,96,0,2277,accepted
136,96,24,120,24,120,-32,104,33,111,152,128,-1460,96,0,1971,accepted
464,103,136,120,496,112,72,120,48,96,168,112,-2830,96,0,3756,accepted
1357,51,-8,176,360,128,48,104,48,72,136,120,-3004,88,0,3483,accepted
153,88,1,119,24,119,-16,88,25,120,136,119,-1332,80,0,1866,accepted
152,79,16,144,24,96,-15,80,40,103,97,120,-1285,103,0,1748,accepted
168,96,12,176,601,108,24,111,15,105,153,144,-2043,87,0,2650,accepted
136,88,-7,151,31,128,-7,80,32,111,112,112,-1294,97,0,1846,accepted
128,96,-7,135,25,111,-7,79,32,103,121,104,-1381,96,0,1891,accepted
160,83,7,128,-1,122,-7,95,8,120,112,120,-1270,112,0,1755,accepted
152,80,40,128,8,120,0,88,8,112,112,128,-1349,88,0,1835,accepted
136,80,-8,144,16,120,-16,96,56,88,168,96,-1276,72,0,1796,accepted
168,72,-16,136,16,120,-48,120,56,96,168,120,-1310,80,0,2004,accepted
136,96,-16,136,40,112,-15,88,40,103,120,120,-1286,96,0,1845,accepted
120,87,-16,144,16,120,-8,88,32,112,160,96,-1333,96,0,1985,accepted
128,87,-8,128,-1,121,-16,112,40,88,145,112,-1258,87,0,1760,accepted
144,88,8,136,-1,129,-24,96,40,104,128,112,-1317,96,0,1787,accepted
120,120,-24,136,24,120,-40,104,49,96,192,103,-1313,96,0,1792,accepted
152,96,-25,121,32,112,-33,113,40,104,136,120,-1303,104,0,1764,accepted
128,104,-31,144,16,127,-47,120,64,95,176,120,-1281,80,0,1807,accepted
160,95,-32,128,32,112,-32,104,72,112,136,112,-1266,80,0,2089,accepted
129,88,-39,151,105,119,36,72,25,107,153,135,-1443,87,0,1922,accepted
145,87,-16,144,9,111,-32,120,33,95,128,104,-1389,96,0,1867,accepted
104,104,-32,144,32,120,-8,96,41,87,184,120,-1276,88,0,1721,accepted
144,88,8,136,-1,129,-24,96,40,104,128,112,-1317,96,0,1787,accepted
120,120,-24,136,24,120,-40,104,49,96,192,103,-1313,96,0,1792,accepted
152,96,-25,121,32,112,-33,113,40,104,136,120,-1303,104,0,1764,accepted
128,104,-31,144,16,127,-47,120,64,95,176,120,-1281,80,0,1807,accepted
160,95,-32,128,32,112,-32,104,72,112,136,112,-1266,80,0,2089,accepted
136,87,-7,136,16,111,-23,88,16,127,119,113,-1849,96,0,2103,accepted
137,95,41,143,16,112,-15,95,17,103,137,127,-1381,95,0,1923,accepted
153,87,-31,143,24,127,-31,104,41,111,152,128,-1322,95,0,2984,accepted
120,88,-7,127,8,120,-16,104,16,104,120,128,-1262,112,0,1724,accepted
200,56,-49,129,40,136,-40,112,56,104,120,144,-1337,104,0,1769,accepted
152,112,-46,126,88,120,-72,112,170,79,224,127,-1510,64,0,2636,accepted
120,104,-24,160,16,120,24,88,32,64,112,144,-1309,112,0,2394,accepted
128,95,-8,120,16,112,1,104,32,95,136,136,-1387,112,0,2048,accepted
129,79,-8,135,16,112,-7,104,24,103,113,136,-1252,79,0,1777,accepted
145,79,-16,119,8,128,-7,104,24,87,121,120,-1277,95,0,1720,accepted
129,95,-23,127,32,111,-7,104,25,87,113,135,-1241,103,0,1702,accepted
129,87,-23,119,39,112,-24,97,41,103,129,127,-1229,87,0,1748,accepted
