@relation BillNyeTheTestingGuy5.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute class {accepted,denied}

@data
% Accepted data
-704,103,304,744,32,104,24,80,24,176,952,88,-712,96,0,800,accepted
-744,111,320,768,32,128,24,56,17,168,809,119,-512,119,0,552,accepted
-736,127,329,760,41,127,-24,79,16,200,833,136,-472,135,0,480,accepted
-840,112,408,928,17,87,680,104,184,128,1288,88,-488,104,0,528,accepted
-656,112,1184,680,56,120,8,80,16,152,1552,120,-424,128,0,472,accepted
-784,112,520,800,32,96,24,72,-24,208,472,112,-144,528,0,144,accepted
-848,111,425,864,48,95,32,72,24,224,2049,96,-1360,87,0,1504,accepted
-552,120,408,568,56,96,-15,88,24,191,857,112,-680,135,0,712,accepted
-1264,119,553,1280,88,112,224,111,81,168,1032,88,-143,527,0,151,accepted
-824,104,512,848,72,104,-16,80,-15,191,672,104,-473,136,0,504,accepted
-784,119,378,791,16,111,8,96,-7,207,824,112,-504,112,0,576,accepted
-808,116,345,831,24,120,-16,96,-8,192,1024,112,-800,104,0,896,accepted
-632,120,824,656,24,104,16,80,4,147,928,105,-640,120,0,712,accepted
-656,96,376,704,16,96,8,96,-64,192,912,120,-640,96,0,728,accepted
-704,103,304,744,32,104,24,80,24,176,952,88,-712,96,0,800,accepted
-744,111,320,768,32,128,24,56,17,168,809,119,-512,119,0,552,accepted
-736,127,329,760,41,127,-24,79,16,200,833,136,-472,135,0,480,accepted
-616,79,313,672,40,104,-15,87,-15,159,215,96,-111,424,0,127,accepted
-552,112,257,559,21,123,-32,96,-47,191,136,135,-118,512,0,126,accepted
-680,96,337,687,40,96,-24,104,-23,175,600,104,-520,112,0,551,accepted
-528,112,232,584,40,96,-25,89,-40,192,520,104,-449,128,0,481,accepted
-520,112,275,565,24,112,-8,88,-24,168,848,112,-801,112,0,825,accepted
-640,112,224,680,8,112,-8,80,-24,168,528,128,-464,136,0,496,accepted
-552,96,280,568,24,112,-16,88,-48,192,384,112,-144,528,0,160,accepted
-648,112,241,696,16,103,8,64,-15,200,640,111,-496,128,0,592,accepted
-592,103,224,640,64,105,593,63,24,159,432,104,-103,424,0,151,accepted
-641,104,289,696,32,119,8,48,136,168,625,120,-528,135,0,544,accepted
-633,104,217,656,24,96,8,71,-8,160,553,112,-505,144,0,529,accepted
-576,112,337,607,7,104,-7,104,-31,183,193,111,-88,464,0,127,accepted
-576,104,233,623,-1,113,-7,87,-88,200,648,128,-584,128,0,591,accepted
-480,120,225,511,8,112,-8,80,-16,184,624,128,-560,144,0,584,accepted
-520,112,275,565,24,112,-8,88,-24,168,848,112,-801,112,0,825,accepted
-640,112,224,680,8,112,-8,80,-24,168,528,128,-464,136,0,496,accepted
-552,96,280,568,24,112,-16,88,-48,192,384,112,-144,528,0,160,accepted
-648,112,241,696,16,103,8,64,-15,200,640,111,-496,128,0,592,accepted
-592,103,224,640,64,105,593,63,24,159,432,104,-103,424,0,151,accepted
-641,104,289,696,32,119,8,48,136,168,625,120,-528,135,0,544,accepted
-633,104,217,656,24,96,8,71,-8,160,553,112,-505,144,0,529,accepted
-576,112,337,607,7,104,-7,104,-31,183,193,111,-88,464,0,127,accepted
-576,104,233,623,-1,113,-7,87,-88,200,648,128,-584,128,0,591,accepted
-480,120,225,511,8,112,-8,80,-16,184,624,128,-560,144,0,584,accepted
-784,112,520,800,32,96,24,72,-24,208,472,112,-144,528,0,144,accepted
-848,111,425,864,48,95,32,72,24,224,2049,96,-1360,87,0,1504,accepted
-552,120,408,568,56,96,-15,88,24,191,857,112,-680,135,0,712,accepted
-736,127,329,760,41,127,-24,79,16,200,833,136,-472,135,0,480,accepted
-616,79,313,672,40,104,-15,87,-15,159,215,96,-111,424,0,127,accepted
-552,112,257,559,21,123,-32,96,-47,191,136,135,-118,512,0,126,accepted
-680,96,337,687,40,96,-24,104,-23,175,600,104,-520,112,0,551,accepted
-528,112,232,584,40,96,-25,89,-40,192,520,104,-449,128,0,481,accepted
-520,112,275,565,24,112,-8,88,-24,168,848,112,-801,112,0,825,accepted
-576,112,225,595,41,101,-9,91,-28,176,254,109,-523,113,0,181,accepted
